Internal_Reference,Product_Name,Display_Name,Product_Template,Sales_Price,Cost,Category,Product_Type,Sales_UoM,Purchase_UoM,Active,Barcode,Sales_Description,Purchase_Description,Tracking,Quantity_On_Hand,Forecasted_Quantity,Weight,Volume
101070-00-01,Trimble Geospatial Accessory - Dual Battery Charger with Power Supply and Power Cord (North America),[101070-00-01] Trimble Geospatial Accessory - Dual Battery Charger with Power Supply and Power Cord (North America),[101070-00-01] Trimble Geospatial Accessory - Dual Battery Charger with Power Supply and Power Cord (North America),1.0,316.67,All,consu,Units,Units,True,False,False,False,serial,21.0,21.0,0.0,0.0
101071-00-01,Trimble Geospatial Accessory - Power Supply and Power Cord for Dual Battery Charger (North America),[101071-00-01] Trimble Geospatial Accessory - Power Supply and Power Cord for Dual Battery Charger (North America),[101071-00-01] Trimble Geospatial Accessory - Power Supply and Power Cord for Dual Battery Charger (North America),1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
101750-00,"Transport Case, R750","[101750-00] Transport Case, R750","[101750-00] Transport Case, R750",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
104661-50,Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
104661-50,Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
105568,Kit-Measure up target,[105568] Kit-Measure up target,[105568] Kit-Measure up target,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
109000,Dual Slot Charger without Cables or Power Supply,[109000] Dual Slot Charger without Cables or Power Supply,[109000] Dual Slot Charger without Cables or Power Supply,1.0,392.0,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
109218-BLK-GEO,"Pouch, Trimble Catalyst (5 pack)","[109218-BLK-GEO] Pouch, Trimble Catalyst (5 pack)","[109218-BLK-GEO] Pouch, Trimble Catalyst (5 pack)",1.0,75.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
109695-00,Trimble Catalyst DA2 Receiver Packout,[109695-00] Trimble Catalyst DA2 Receiver Packout,[109695-00] Trimble Catalyst DA2 Receiver Packout,1.0,207.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
110238-00-1,Trimble EM120 2.4GHz Module,[110238-00-1] Trimble EM120 2.4GHz Module,[110238-00-1] Trimble EM120 2.4GHz Module,1.0,0.0,All,consu,Units,Units,True,False,False,False,none,0.0,0.0,0.0,0.0
